"cpi_year","cpi","adj_factor_2015","adj_factor_2016","adj_factor_2017"
1947,22.3316666666667,0.0942293241741221,0.0930461557264461,0.0910978828019857
1948,24.045,0.101458799899997,0.100184856232961,0.0980871076337225
1949,23.8091666666667,0.100463692103099,0.0992022432741358,0.0971250693908326
1950,24.0625,0.101532641821322,0.100257770975488,0.0981584956305447
1951,25.9733333333333,0.109595476373574,0.108219366433386,0.105953384997846
1952,26.5666666666667,0.112099069134675,0.110691523418132,0.108373778032962
1953,26.7683333333333,0.112950009370891,0.111531779022498,0.109196439710627
1954,26.865,0.113357898079161,0.111934546171698,0.109590773407359
1955,26.7958333333333,0.11306604667583,0.111646359332184,0.109308620848491
1956,27.1908333333333,0.114732764328585,0.113292149234951,0.110919949919621
1957,28.1133333333333,0.118625288466982,0.117135797805336,0.114683117180677
1958,28.8808333333333,0.121863784159361,0.120333630084762,0.117813990755594
1959,29.15,0.122999543234972,0.121455128267449,0.118912006135288
1960,29.585,0.124835042422184,0.12326758043885,0.120686507770583
1961,29.9016666666667,0.126171229569962,0.12458699006554,0.121978290570224
1962,30.2533333333333,0.12765510056039,0.126052229177286,0.123412849363508
1963,30.6333333333333,0.129258525137724,0.127635520729314,0.124962988723076
1964,31.0383333333333,0.130967438174093,0.129322976199239,0.126615110935247
1965,31.5283333333333,0.133035011971182,0.131364588990013,0.128613974846269
1966,32.4708333333333,0.137011926876807,0.135291568694715,0.132458728389409
1967,33.375,0.140827092811911,0.139058830391976,0.136147108225223
1968,34.7916666666667,0.146804772157235,0.144961452406117,0.141926136539402
1969,36.6833333333333,0.154786732224228,0.152843188860294,0.149642839053042
1970,38.8416666666667,0.163893902520928,0.161836007105368,0.158447358661115
1971,40.4833333333333,0.170820977997569,0.168676104380579,0.165144232648722
1972,41.8083333333333,0.176411866326431,0.174196792029099,0.17054932383669
1973,44.425,0.187452991705442,0.185099282102278,0.181223529075821
1974,49.3166666666667,0.208093566856651,0.205480688704048,0.20117817390184
1975,53.825,0.227116652302655,0.224264915231404,0.219569081654611
1976,56.9333333333333,0.24023238404269,0.237215962356549,0.232248949661604
1977,60.6166666666667,0.255774350340534,0.252562779593316,0.24727442327847
1978,65.2416666666667,0.275289715262035,0.271833104404189,0.266141251010055
1979,72.5833333333333,0.306268159398688,0.302422574959827,0.296090215391184
1980,82.3833333333333,0.347619635340462,0.343254830775299,0.336067493611624
1981,90.9333333333333,0.38369668833048,0.37887889069594,0.370945629201906
1982,96.5333333333333,0.407326103154351,0.402211608304781,0.393789788185015
1983,99.5833333333333,0.420195695156638,0.414919606288167,0.4062316962026
1984,103.933333333333,0.438550687028752,0.433044128002178,0.423976712555551
1985,107.6,0.454022327687239,0.448321502627014,0.438934197604015
1986,109.691666666667,0.462848195426513,0.457036550424364,0.447466762938479
1987,113.616666666667,0.47940988349503,0.473390285534132,0.463478070797176
1988,118.275,0.499065899695244,0.492799495568867,0.482480875665566
1989,123.941666666667,0.522976617076542,0.516409983625432,0.505596988922283
1990,130.658333333333,0.551317849737316,0.544395356233655,0.532996381988332
1991,136.166666666667,0.574560473544725,0.567346139476875,0.555466603845229
1992,140.308333333333,0.59203639492488,0.584602628541747,0.572361763093154
1993,144.475,0.60961780476407,0.601963281524515,0.589358905193681
1994,148.225,0.625441073619341,0.617587869209007,0.604656333084155
1995,152.383333333333,0.642987320638852,0.63491380088581,0.621619480900481
1996,156.858333333333,0.661869754806142,0.653559142189303,0.639874411516448
1997,160.525,0.677341395464629,0.66883651681414,0.654831896564912
1998,163.008333333333,0.687819915728786,0.67918346599187,0.664962193256826
1999,166.583333333333,0.702904765370811,0.694078906251085,0.679545741179078
2000,172.191666666667,0.726569343014361,0.717446345165891,0.702423894446388
2001,177.041666666667,0.747034104067178,0.737654145237834,0.722208567851401
2002,179.866666666667,0.758954299938149,0.749424667960151,0.733732630195559
2003,184,0.776395058498625,0.766646435719057,0.750593795159282
2004,188.908333333333,0.797105959289191,0.787097284932759,0.770616428553703
2005,195.266666666667,0.823935190703794,0.813589641384463,0.796554067399107
2006,201.558333333333,0.850483119560971,0.839804227388444,0.822219751970904
2007,207.344166666667,0.87489666526367,0.863911230120316,0.845821983491696
2008,215.25425,0.908273565330585,0.896869040955864,0.878089697998179
2009,214.564666666667,0.905363842002199,0.893995852887216,0.875276670980541
2010,218.076166666667,0.920180750958275,0.908626716794974,0.889601182457182
2011,224.923,0.949071226862425,0.937154436202378,0.917531566242452
2012,229.586083333333,0.968747285869856,0.956583437381514,0.936553747852836
2013,232.95175,0.98294884548156,0.970606678434875,0.950283359355958
2014,236.7065,0.998792157144048,0.986251057263767,0.965600163988427
2015,236.99275,1,0.987443734123683,0.966767867650733
2016,240.006333333333,1.01271593048029,1,0.97906122064636
2017,245.13925,1.03437446926119,1.02138658840947,1
2018,249.245,1.05169883888853,1.03849342864563,1.01674864388302
